2026-06-01 18:22:35.713 +05:45 [WRN] Entity 'ApplicationUser' has a global query filter defined and is the required end of a relationship with the entity 'RefreshToken'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-01 18:22:38.052 +05:45 [INF] Database migrated and seeded successfully
2026-06-01 18:22:38.067 +05:45 [INF] AI Solutions API starting on https://localhost:7178
2026-06-01 18:22:38.263 +05:45 [INF] Now listening on: https://localhost:7178
2026-06-01 18:22:38.273 +05:45 [INF] Now listening on: http://localhost:5214
2026-06-01 18:22:38.331 +05:45 [INF] Application started. Press Ctrl+C to shut down.
2026-06-01 18:22:38.335 +05:45 [INF] Hosting environment: Development
2026-06-01 18:22:38.347 +05:45 [INF] Content root path: D:\Final year assignment 2\AISolutions\backend\src\AI.Solutions.API
2026-06-01 18:22:39.584 +05:45 [INF] HTTP GET /swagger responded 301 in 4.7991 ms
2026-06-01 18:22:39.669 +05:45 [INF] HTTP GET /swagger/index.html responded 200 in 63.1728 ms
2026-06-01 18:22:39.708 +05:45 [INF] HTTP GET /swagger/index.js responded 200 in 0.9273 ms
2026-06-01 18:22:39.947 +05:45 [INF] HTTP GET /swagger/v1/swagger.json responded 200 in 13.7650 ms
2026-06-01 18:23:21.102 +05:45 [INF] HTTP GET /api/reviews/approved responded 200 in 2001.0474 ms
2026-06-01 18:25:41.134 +05:45 [INF] HTTP OPTIONS /api/auth/login responded 204 in 1.4762 ms
2026-06-01 18:25:41.501 +05:45 [INF] HTTP POST /api/auth/login responded 200 in 362.1746 ms
2026-06-01 18:25:41.827 +05:45 [INF] HTTP OPTIONS /api/contact/messages responded 204 in 0.1194 ms
2026-06-01 18:25:41.827 +05:45 [INF] HTTP OPTIONS /api/reviews responded 204 in 0.1083 ms
2026-06-01 18:25:41.827 +05:45 [INF] HTTP OPTIONS /api/users responded 204 in 0.0441 ms
2026-06-01 18:25:41.828 +05:45 [INF] HTTP OPTIONS /api/dashboard/stats responded 204 in 0.1055 ms
2026-06-01 18:25:41.985 +05:45 [INF] HTTP GET /api/reviews responded 200 in 151.4579 ms
